Dataset,File,date,processing_timestamp,Units,HCHO_Mean (molecules/cm²),HCHO_Min (molecules/cm²),HCHO_Max (molecules/cm²),HCHO_Mean (DU),HCHO_Min (DU),HCHO_Max (DU),Min_Lat,Min_Lon,Max_Lat,Max_Lon
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0426_v003-2025m0427t071438.nc,4/26/2025,4/27/2025,molecules/cm²,1.349E+15,-1.00E+19,9.10E+18,0.05,-371.64,338.12,45.75,22.96,-21.85,-151.05
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0425_v003-2025m0426t081856.nc,4/25/2025,4/26/2025,molecules/cm²,1.136E+15,-9.86E+18,9.10E+18,0.04,-366.53,338.12,2.85,98.17,-21.95,-151.05
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0424_v003-2025m0425t071454.nc,4/24/2025,4/25/2025,molecules/cm²,643800000000000,-9.78E+18,8.48E+18,0.02,-363.73,315.11,5.25,-65.14,28.15,85.87
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0423_v003-2025m0424t063026.nc,4/23/2025,4/24/2025,molecules/cm²,710900000000000,-1.00E+19,1.30E+18,0.03,-371.67,48.33,-20.65,24.56,9.95,-7.74
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0422_v003-2025m0423t071631.nc,4/22/2025,4/23/2025,molecules/cm²,994000000000000,-9.93E+18,7.24E+18,0.04,-369.03,269.09,-9.15,-66.74,29.85,14.66
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0421_v003-2025m0422t071608.nc,4/21/2025,4/22/2025,molecules/cm²,642000000000000,-9.98E+18,2.76E+17,0.02,-370.82,10.25,0.55,-58.84,-19.25,-49.44
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0420_v003-2025m0421t081237.nc,4/20/2025,4/21/2025,molecules/cm²,654800000000000,-9.90E+18,1.12E+18,0.02,-368.13,41.49,18.35,42.66,78.45,-71.74
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0419_v003-2025m0420t071146.nc,4/19/2025,4/20/2025,molecules/cm²,1.368E+15,-9.99E+18,8.49E+18,0.05,-371.35,315.45,10.95,-139.85,-20.95,-26.44
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0418_v003-2025m0419t061420.nc,4/18/2025,4/19/2025,molecules/cm²,30230000000000,-9.89E+18,6.25E+18,0,-367.46,232.5,-21.35,123.17,12.45,38.86
OMI-Aura,OMI-Aura_L3-OMHCHOd_2025m0417_v003-2025m0418t071430.nc,4/17/2025,4/18/2025,molecules/cm²,-152000000000000,-9.98E+18,8.55E+18,-0.01,-370.8,318,14.85,98.97,-1.65,-50.14
